City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Caloundra,AU,2021-10-11 01:17:39,-26.8,153.1333,89.37,60,23,7.0,few clouds
244,Lavrentiya,RU,2021-10-11 01:17:39,65.5833,-171.0,30.88,81,100,3.98,overcast clouds
245,Kutum,SD,2021-10-11 01:17:39,14.2,24.6667,82.11,21,93,7.38,overcast clouds
246,Chernaya Kholunitsa,RU,2021-10-11 01:17:40,58.8511,51.7154,43.84,97,100,6.8,overcast clouds
247,Anaco,VE,2021-10-11 01:17:40,9.4389,-64.4728,76.19,87,99,4.12,overcast clouds
248,Teya,RU,2021-10-11 01:17:40,60.3778,92.6267,22.41,83,7,3.36,clear sky
249,Porto Novo,BJ,2021-10-11 01:14:12,6.4965,2.6036,76.59,91,100,3.02,moderate rain
250,Irbil,IQ,2021-10-11 01:15:05,36.1926,44.0106,70.43,16,0,3.62,clear sky
251,Maniitsoq,GL,2021-10-11 01:17:41,65.4167,-52.9,34.36,93,100,6.93,overcast clouds
252,Orocue,CO,2021-10-11 01:17:41,4.7912,-71.3354,77.88,86,100,4.63,overcast clouds
253,Haines Junction,CA,2021-10-11 01:17:41,60.7522,-137.5108,40.95,56,13,1.14,few clouds
254,Ostrovnoy,RU,2021-10-11 01:17:42,68.0531,39.5131,42.66,94,100,6.2,overcast clouds
255,Vzmorye,RU,2021-10-11 01:17:42,54.6961,20.2361,37.49,69,0,8.9,clear sky
256,Guerrero Negro,MX,2021-10-11 01:17:43,27.9769,-114.0611,72.43,66,0,17.02,clear sky
257,Newton,US,2021-10-11 01:17:44,42.337,-71.2092,61.7,88,90,4.0,overcast clouds
258,Axim,GH,2021-10-11 01:17:45,4.8699,-2.2405,75.87,91,100,4.52,overcast clouds
259,Seydi,TM,2021-10-11 01:17:45,39.4816,62.9137,45.1,44,0,4.16,clear sky
260,Mutare,ZW,2021-10-11 01:17:45,-18.9707,32.6709,58.14,91,100,4.36,overcast clouds
